,Borough,Neighborhood,latitude,longitude
84,East Delhi,Pandav Nagar,28.6501272,77.1532783
85,East Delhi,Patparganj,28.6115923,77.2905644
86,East Delhi,Preet Vihar,28.6377532,77.2951746
87,East Delhi,Anand Vihar,28.6256914,77.1019410656028
88,East Delhi,Shakarpur,28.62948875,77.2810607296737
89,East Delhi,Shastri Nagar,39.0317139,-90.2612233
90,East Delhi,Silampur,,
91,East Delhi,Vasundhara Enclave,28.60172565,77.3211224956397
92,East Delhi,Vishwas Nagar,28.66447005,77.2917413918215
93,East Delhi,Vivek Vihar,28.6691641,77.312266954216
94,East Delhi,Shahdara,28.6773038,77.2903467
95,South Delhi,Alaknanda,28.5293364,77.2516323
96,South Delhi,Chhattarpur,28.5070073,77.1754171
97,South Delhi,Chittaranjan Park,28.5387523,77.2492493451557
98,South Delhi,Dayanand Colony,28.5621997,77.2476131
99,South Delhi,Defence Colony,28.5717909,77.2320102
100,South Delhi,East of Kailash,28.5570322,77.2446139206853
101,South Delhi,Friends Colony,28.5667513,77.2619181
102,South Delhi,Govindpuri,39.0317139,-90.2612233
103,South Delhi,Greater Kailash,28.5546327,77.2285698
104,South Delhi,Green Park,28.5580022,77.2068211
105,South Delhi,Gulmohar Park,28.5571011,77.2130055
106,South Delhi,Hauz Khas,28.5442564,77.2067072
107,South Delhi,Hauz Khas Village,28.55385485,77.1947127585299
108,South Delhi,Jaitpur,28.5004766,77.3161916
109,South Delhi,Jamroodpur Village,,
110,South Delhi,Jangpura,28.58245705,77.2415000727384
111,South Delhi,Jasola,28.5422327,77.2943855997645
112,South Delhi,Jor Bagh,28.5865942,77.2125637
113,South Delhi,Kailash Colony,28.5530522,77.2429694
114,South Delhi,Kalkaji,39.0317139,-90.2612233
115,South Delhi,Khanpur,28.5127982,77.2323949
116,South Delhi,Khirki Village,28.5298852,77.2180771
117,South Delhi,Kotla Mubarakpur,,
118,South Delhi,Lajpat Nagar,28.5654623,77.2456272
119,South Delhi,Lodi Colony,28.59070215,77.2209205731588
120,South Delhi,Maharani Bagh,28.5720013,77.2633718
121,South Delhi,Malviya Nagar,28.5339201,77.2124474
122,South Delhi,Mehrauli,28.5218262,77.1783232
123,South Delhi,Neeti Bagh,28.5592511,77.2161665
124,South Delhi,Nehru Place,28.54925735,77.2529519950882
125,South Delhi,Netaji Nagar,28.5735343,77.1863593
126,South Delhi,New Friends Colony,28.5671008,77.2697643
127,South Delhi,Nizamuddin West,28.588365,77.2449546
128,South Delhi,Okhla,28.5636616,77.2890546
129,South Delhi,Pulpehaladpur,,
130,South Delhi,Safdarjung Enclave,28.5656419,77.1934382
131,South Delhi,Sainik Farm,28.503746,77.2160725340212
132,South Delhi,Saket,28.5244107,77.2137253
133,South Delhi,Sangam Vihar,28.49770245,77.2391741045083
134,South Delhi,Sarita Vihar,28.5334785,77.2935232
135,South Delhi,Sarojini Nagar,28.5741575,77.1953703
136,South Delhi,Sarvodaya Enclave,28.5374783,77.2020888
137,South Delhi,Shahpur Jat,28.5483303,77.214104
138,South Delhi,Siri Fort,28.5521464,77.2246983
139,South Delhi,South Extension,28.5685664,77.2205677
140,South Delhi,Sriniwaspuri,28.5652204,77.2547041
141,South Delhi,Sundar Nagar[1],,
142,South Delhi,Tughlaqabad,28.5111925,77.2623265
143,South Delhi,Badarpur,28.5036378,77.3019758191726
144,South West Delhi,"Dabri, New Delhi",,
145,South West Delhi,Dwarka Sub City,,
146,South West Delhi,Delhi Cantonment,28.5835356,77.125985390991
147,South West Delhi,Dhaula Kuan,28.5918905,77.1617034
148,South West Delhi,Ghitorni,28.4938107,77.1491661
149,South West Delhi,Inderpuri,28.6286841,77.1470979
150,South West Delhi,Kirby Place,28.61174115,77.1285268741838
151,South West Delhi,Kishangarh Village,28.5194277,77.1665351
152,South West Delhi,Mahipalpur,28.5444849,77.1256912
153,South West Delhi,Moti Bagh,28.5778787,77.1741797
154,South West Delhi,Munirka,28.554886,77.1710841
155,South West Delhi,Najafgarh,28.612304,76.9823908
156,South West Delhi,Naraina,28.6220547,77.1386441
157,South West Delhi,Palam,28.5671733,77.1340317
158,South West Delhi,Rama Krishna Puram,28.5755607,77.1723033680923
159,South West Delhi,Rajokri,28.5131702,77.1107659
160,South West Delhi,Rangpuri,28.5400072,77.1197754
161,South West Delhi,Sarojini Nagar,28.5741575,77.1953703
162,South West Delhi,Sagar Pur,,
163,South West Delhi,Vasant Kunj,28.5292495,77.1541335
164,South West Delhi,Vasant Vihar,28.56069055,77.1607907316857
165,West Delhi,Ashok Nagar,39.0317139,-90.2612233
166,West Delhi,Bali Nagar,28.6541384,77.128178
167,West Delhi,Dhaula Kuan,28.5918905,77.1617034
168,West Delhi,Fateh Nagar,28.6316154,77.1008776
169,West Delhi,Janakpuri,28.6219272,77.0874757
170,West Delhi,Kirti Nagar,28.6523681,77.1496416
171,West Delhi,Meera Bagh,28.658844,77.0908475060524
172,West Delhi,Moti Nagar,28.657859,77.1424288
173,West Delhi,Nehru Nagar,39.0317139,-90.2612233
174,West Delhi,Partap Nagar,,
175,West Delhi,Paschim Vihar,28.6695782,77.095956
176,West Delhi,Patel Nagar,28.6598088,77.156957
177,West Delhi,Punjabi Bagh,28.668945,77.1324614
178,West Delhi,Rajouri Garden,28.6421518,77.1160603776926
179,West Delhi,Shivaji Place,28.651657,77.1217027
180,West Delhi,Tihar Village,,
181,West Delhi,Tilak Nagar,28.63964975,77.0940394634643
182,West Delhi,Uttam Nagar,,
183,West Delhi,Vikas Nagar,28.6440092,77.0544704285337
184,West Delhi,Vikaspuri,28.63841905,77.0708361468549
